age_yrBP1950	TS_EDC	TS_EDC_lower	TS_EDC_upper
0	-54.73	-54.73	-54.72
40	-54.86	-54.87	-54.85
80	-55.07	-55.09	-55.06
120	-55.26	-55.23	-55.18
160	-55.38	-55.38	-55.32
200	-55.48	-55.50	-55.41
240	-55.51	-55.62	-55.52
280	-55.64	-55.69	-55.58
320	-55.73	-55.76	-55.63
360	-55.78	-55.80	-55.66
400	-55.78	-55.81	-55.65
440	-55.70	-55.77	-55.60
480	-55.61	-55.68	-55.49
520	-55.48	-55.57	-55.37
560	-55.34	-55.51	-55.29
600	-55.30	-55.50	-55.27
640	-55.35	-55.56	-55.31
680	-55.51	-55.59	-55.33
720	-55.60	-55.63	-55.35
760	-55.55	-55.63	-55.33
800	-55.43	-55.61	-55.30
840	-55.32	-55.60	-55.27
880	-55.35	-55.60	-55.25
920	-55.47	-55.63	-55.27
960	-55.56	-55.68	-55.31
1000	-55.57	-55.71	-55.32
1040	-55.50	-55.70	-55.29
1080	-55.41	-55.63	-55.21
1120	-55.33	-55.56	-55.12
1160	-55.25	-55.50	-55.04
1200	-55.19	-55.45	-54.98
1240	-55.16	-55.41	-54.93
1280	-55.13	-55.39	-54.89
1320	-55.11	-55.41	-54.89
1360	-55.14	-55.45	-54.92
1400	-55.21	-55.53	-54.98
1440	-55.33	-55.60	-55.04
1480	-55.42	-55.68	-55.10
1520	-55.48	-55.76	-55.16
1560	-55.50	-55.82	-55.21
1600	-55.52	-55.85	-55.23
1640	-55.57	-55.87	-55.23
1680	-55.58	-55.89	-55.24
1720	-55.57	-55.92	-55.25
1760	-55.58	-55.93	-55.24
1800	-55.57	-55.93	-55.22
1840	-55.56	-55.90	-55.18
1880	-55.53	-55.89	-55.16
1920	-55.48	-55.89	-55.14
1960	-55.47	-55.88	-55.11
2000	-55.47	-55.89	-55.11
2040	-55.51	-55.90	-55.10
2080	-55.52	-55.94	-55.13
2120	-55.54	-55.96	-55.13
2160	-55.55	-55.96	-55.11
2200	-55.53	-55.96	-55.10
